as_of_ts,game_id,game_date,home_team,away_team,home_runs_pred,away_runs_pred,total_runs_pred,run_diff_pred,p_home_win_poisson,p_home_model,home_runs_actual,away_runs_actual,home_win_actual,p_home_win_pred,total_runs_actual,home_win_actual_int,predicted_home_win
2026-03-19 21:14:39.918240+00:00,746602,2024-08-07,Cleveland Guardians,Arizona Diamondbacks,3.3460880068659717,2.7071236408342214,6.053211647700193,0.6389643660317503,0.48377355339404504,0.48377355339404504,3,5,False,0.48377355339404504,8,0,0
2026-03-19 21:14:39.918240+00:00,746604,2024-08-07,Cleveland Guardians,Arizona Diamondbacks,3.3400145973204274,2.576438763352655,5.916453360673082,0.7635758339677725,0.49679461704548555,0.49679461704548555,3,7,False,0.49679461704548555,10,0,0
2026-03-19 21:14:41.514841+00:00,745226,2024-08-08,Seattle Mariners,Detroit Tigers,4.219399299820026,3.4891708393658702,7.7085701391858965,0.7302284604541556,0.4946628133459433,0.4946628133459433,4,3,True,0.4946628133459433,7,1,0
2026-03-19 21:14:42.983694+00:00,747168,2024-08-09,Arizona Diamondbacks,Philadelphia Phillies,3.779742471581558,3.6047774766142036,7.384519948195761,0.1749649949673544,0.44170377741455347,0.44170377741455347,3,2,True,0.44170377741455347,5,1,0
2026-03-19 21:14:44.429455+00:00,744897,2024-08-10,Toronto Blue Jays,Athletics,3.084366918025108,2.3633288307578364,5.4476957487829445,0.7210380872672717,0.49166505823899076,0.49166505823899076,0,1,False,0.49166505823899076,1,0,0
2026-03-19 21:14:44.429455+00:00,746112,2024-08-10,Los Angeles Dodgers,Pittsburgh Pirates,3.210082350456893,2.787117964790732,5.997200315247625,0.4229643856661611,0.460872137284972,0.460872137284972,4,1,True,0.460872137284972,5,1,0
2026-03-19 21:14:44.429455+00:00,747164,2024-08-10,Arizona Diamondbacks,Philadelphia Phillies,4.4576625286241,3.7428370098260237,8.200499538450124,0.7148255187980763,0.4935385621932332,0.4935385621932332,11,1,True,0.4935385621932332,12,1,0
2026-03-19 21:14:47.353074+00:00,745874,2024-08-12,Minnesota Twins,Kansas City Royals,2.9631018389703625,2.9081777516264014,5.871279590596764,0.05492408734396115,0.42147124053267426,0.42147124053267426,8,3,True,0.42147124053267426,11,1,0
2026-03-19 21:14:48.775606+00:00,745954,2024-08-13,Milwaukee Brewers,Los Angeles Dodgers,3.636840801941712,3.1087096045353224,6.745550406477035,0.5281311974063896,0.47385457340369685,0.47385457340369685,2,7,False,0.47385457340369685,9,0,0
2026-03-19 21:14:50.286984+00:00,745790,2024-08-14,New York Mets,Athletics,4.083167246415168,4.02351601033722,8.106683256752387,0.05965123607794798,0.43412744526667113,0.43412744526667113,9,1,True,0.43412744526667113,10,1,0
2026-03-19 21:14:50.286984+00:00,746598,2024-08-14,Cleveland Guardians,Chicago Cubs,3.3590004739519443,2.717727249481708,6.0767277234336525,0.6412732244702362,0.48405848160180476,0.48405848160180476,6,1,True,0.48405848160180476,7,1,0
2026-03-19 21:14:51.838585+00:00,745545,2024-08-15,Philadelphia Phillies,Washington Nationals,3.9035288453947152,3.3072281447486587,7.2107569901433735,0.5963007006460566,0.4814251453796793,0.4814251453796793,13,3,True,0.4814251453796793,16,1,0
2026-03-19 21:14:53.292546+00:00,745462,2024-08-16,Pittsburgh Pirates,Seattle Mariners,3.9626666519452325,3.1802371058209884,7.142903757766221,0.7824295461242441,0.49936469193961264,0.49936469193961264,5,3,True,0.49936469193961264,8,1,0
2026-03-19 21:14:54.733296+00:00,745785,2024-08-17,New York Mets,Miami Marlins,3.3486295361259635,2.6500310425880804,5.998660578714044,0.6985984935378831,0.489981174180659,0.489981174180659,4,0,True,0.489981174180659,4,1,0
2026-03-19 21:14:56.212637+00:00,745464,2024-08-18,Pittsburgh Pirates,Seattle Mariners,2.9644900674499284,2.748520218174844,5.713010285624772,0.21596984927508434,0.43751373961049134,0.43751373961049134,3,10,False,0.43751373961049134,13,0,0
2026-03-19 21:14:56.212637+00:00,745539,2024-08-18,Philadelphia Phillies,Washington Nationals,4.066188679138407,3.5135263491650863,7.579715028303493,0.5526623299733209,0.4778771120269534,0.4778771120269534,4,6,False,0.4778771120269534,10,0,0
2026-03-19 21:14:56.212637+00:00,745786,2024-08-18,New York Mets,Miami Marlins,3.0174586342405996,2.8368241094066233,5.854282743647223,0.18063452483397624,0.434601104013003,0.434601104013003,2,3,False,0.434601104013003,5,0,0
2026-03-19 21:14:56.212637+00:00,746516,2024-08-18,Colorado Rockies,San Diego Padres,4.375627063070194,3.6513375964379517,8.026964659508145,0.7242894666322424,0.4942983699279624,0.4942983699279624,3,2,True,0.4942983699279624,5,1,0
2026-03-19 21:14:57.980406+00:00,744976,2024-08-19,Texas Rangers,Pittsburgh Pirates,3.5039845479437175,2.9104959893488886,6.414480537292606,0.5934885585948289,0.47974181433362584,0.47974181433362584,4,3,True,0.47974181433362584,7,1,0
2026-03-19 21:14:57.980406+00:00,746027,2024-08-19,Miami Marlins,Arizona Diamondbacks,3.326639279619643,2.7844565093139266,6.11109578893357,0.5421827703057165,0.4737455506118703,0.4737455506118703,6,9,False,0.4737455506118703,15,0,0
